sample1	sample2	dis	sam1_group	sam2_group	group	day
F41_15	F41_35	15.75	2	2	2_2	15-35
F41_15	F41_56	41.71	2	2	2_2	15-56
F41_15	F44_15	18.24	2	2	2_2	15-15
F41_15	F44_35	21.2	2	2	2_2	15-35
F41_15	F44_56	47.85	2	2	2_2	15-56
F41_15	F47_15	47.78	2	2	2_2	15-15
F41_15	F47_35	94.16	2	2	2_2	15-35
F41_15	F47_56	86.17	2	2	2_2	15-56
F41_15	F48_15	22.69	2	2	2_2	15-15
F41_15	F48_35	55.25	2	2	2_2	15-35
F41_15	F48_56	92.87	2	2	2_2	15-56
F41_15	F49_15	19.41	2	2	2_2	15-15
F41_15	F49_35	30.1	2	2	2_2	15-35
F41_15	F49_56	23.22	2	2	2_2	15-56
F41_15	F61_15	21.64	2	2	2_2	15-15
F41_15	F61_35	71.17	2	2	2_2	15-35
F41_15	F61_56	24.13	2	2	2_2	15-56
F41_15	F62_15	18.66	2	1	2_1	15-15
F41_15	F62_35	27.06	2	1	2_1	15-35
F41_15	F62_56	40.88	2	1	2_1	15-56
F41_15	F63_15	16.74	2	1	2_1	15-15
F41_15	F63_35	65.78	2	1	2_1	15-35
F41_15	F63_56	25.54	2	1	2_1	15-56
F41_15	F64_15	30.77	2	1	2_1	15-15
F41_15	F64_35	30.99	2	1	2_1	15-35
F41_15	F64_56	18.88	2	1	2_1	15-56
F41_15	F65_15	18.75	2	1	2_1	15-15
F41_15	F65_35	76.07	2	1	2_1	15-35
F41_15	F65_56	33.52	2	1	2_1	15-56
F41_15	F66_15	18.32	2	3	2_3	15-15
F41_15	F66_35	78.97	2	3	2_3	15-35
F41_15	F66_56	19.42	2	3	2_3	15-56
F41_15	F67_15	15.13	2	3	2_3	15-15
F41_15	F67_35	40.82	2	3	2_3	15-35
F41_15	F67_56	25.33	2	3	2_3	15-56
F41_15	F68_15	49.29	2	3	2_3	15-15
F41_15	F68_35	108.16	2	3	2_3	15-35
F41_15	F68_56	82.08	2	3	2_3	15-56
F41_15	F69_15	15.49	2	3	2_3	15-15
F41_15	F69_35	85.05	2	3	2_3	15-35
F41_15	F69_56	32.06	2	3	2_3	15-56
F41_15	F90_15	56.44	2	1	2_1	15-15
F41_15	F90_35	110.24	2	1	2_1	15-35
F41_15	F90_56	70.79	2	1	2_1	15-56
