sample1,sample2,dis,class,day,mag
F41_15,F41_35,62.95,2,15-35,F90_56.32
F41_15,F44_35,31.63,2,15-35,F90_56.32
F41_15,F47_35,78.99,2,15-35,F90_56.32
F41_15,F49_35,60.36,2,15-35,F90_56.32
F41_15,F61_35,18.17,2,15-35,F90_56.32
F41_15,F39_35,87.69,2,15-35,F90_56.32
F41_15,F53_35,63.55,2,15-35,F90_56.32
F41_15,F55_35,40.72,2,15-35,F90_56.32
F41_15,F56_35,32.36,2,15-35,F90_56.32
F41_15,F58_35,125.22,2,15-35,F90_56.32
F41_35,F44_15,40.78,2,15-35,F90_56.32
F41_35,F47_15,35.52,2,15-35,F90_56.32
F41_35,F48_15,90.56,2,15-35,F90_56.32
F41_35,F49_15,63.94,2,15-35,F90_56.32
F41_35,F61_15,60.71,2,15-35,F90_56.32
F41_35,F39_15,22.01,2,15-35,F90_56.32
F41_35,F52_15,59.93,2,15-35,F90_56.32
F41_35,F53_15,78.64,2,15-35,F90_56.32
F41_35,F55_15,40.37,2,15-35,F90_56.32
F41_35,F56_15,99.42,2,15-35,F90_56.32
F41_35,F58_15,57.78,2,15-35,F90_56.32
F44_15,F44_35,60.73,2,15-35,F90_56.32
F44_15,F47_35,55.15,2,15-35,F90_56.32
F44_15,F48_35,159.35,2,15-35,F90_56.32
F44_15,F49_35,70.73,2,15-35,F90_56.32
F44_15,F61_35,36.62,2,15-35,F90_56.32
F44_15,F39_35,52.08,2,15-35,F90_56.32
F44_15,F53_35,34.38,2,15-35,F90_56.32
F44_15,F55_35,29.67,2,15-35,F90_56.32
F44_15,F56_35,78.61,2,15-35,F90_56.32
F44_15,F58_35,132.21,2,15-35,F90_56.32
F44_35,F47_15,41.78,2,15-35,F90_56.32
F44_35,F61_15,76.93,2,15-35,F90_56.32
F44_35,F39_15,135.77,2,15-35,F90_56.32
F44_35,F53_15,53.83,2,15-35,F90_56.32
F44_35,F55_15,29.73,2,15-35,F90_56.32
F44_35,F58_15,77.13,2,15-35,F90_56.32
F47_15,F47_35,69.84,2,15-35,F90_56.32
F47_15,F49_35,64.77,2,15-35,F90_56.32
F47_15,F61_35,15.73,2,15-35,F90_56.32
F47_15,F39_35,64.78,2,15-35,F90_56.32
F47_15,F53_35,37.06,2,15-35,F90_56.32
F47_15,F55_35,68.16,2,15-35,F90_56.32
F47_15,F56_35,37.21,2,15-35,F90_56.32
F47_15,F58_35,90.48,2,15-35,F90_56.32
F47_35,F48_15,35.9,2,15-35,F90_56.32
F47_35,F49_15,42.24,2,15-35,F90_56.32
F47_35,F61_15,56.99,2,15-35,F90_56.32
F47_35,F39_15,25.98,2,15-35,F90_56.32
F47_35,F52_15,18.68,2,15-35,F90_56.32
F47_35,F53_15,43.81,2,15-35,F90_56.32
F47_35,F55_15,23.39,2,15-35,F90_56.32
F47_35,F56_15,38.61,2,15-35,F90_56.32
F47_35,F58_15,42.81,2,15-35,F90_56.32
F48_15,F49_35,114.31,2,15-35,F90_56.32
F48_15,F61_35,55.26,2,15-35,F90_56.32
F48_15,F39_35,110.96,2,15-35,F90_56.32
F48_15,F53_35,71.99,2,15-35,F90_56.32
F48_15,F55_35,96.67,2,15-35,F90_56.32
F48_35,F49_15,187.58,2,15-35,F90_56.32
F48_35,F39_15,161.95,2,15-35,F90_56.32
F48_35,F55_15,99.15,2,15-35,F90_56.32
F49_15,F49_35,74.07,2,15-35,F90_56.32
F49_15,F61_35,59.24,2,15-35,F90_56.32
F49_15,F39_35,138.2,2,15-35,F90_56.32
F49_15,F53_35,27.79,2,15-35,F90_56.32
F49_15,F55_35,30.51,2,15-35,F90_56.32
F49_15,F56_35,120.39,2,15-35,F90_56.32
F49_15,F58_35,160.19,2,15-35,F90_56.32
F49_35,F61_15,194.74,2,15-35,F90_56.32
F49_35,F39_15,50.05,2,15-35,F90_56.32
F49_35,F52_15,171.48,2,15-35,F90_56.32
F49_35,F53_15,140.49,2,15-35,F90_56.32
F49_35,F55_15,38.08,2,15-35,F90_56.32
F49_35,F58_15,91.04,2,15-35,F90_56.32
F61_15,F61_35,30.14,2,15-35,F90_56.32
F61_15,F39_35,99.11,2,15-35,F90_56.32
F61_15,F53_35,42.17,2,15-35,F90_56.32
F61_15,F55_35,43.48,2,15-35,F90_56.32
F61_15,F56_35,147.12,2,15-35,F90_56.32
F61_35,F39_15,96.77,2,15-35,F90_56.32
F61_35,F52_15,227.85,2,15-35,F90_56.32
F61_35,F53_15,49.37,2,15-35,F90_56.32
F61_35,F55_15,76.52,2,15-35,F90_56.32
F61_35,F56_15,63.91,2,15-35,F90_56.32
F61_35,F58_15,62.23,2,15-35,F90_56.32
F62_15,F62_35,175.69,1,15-35,F90_56.32
F62_15,F63_35,148.89,1,15-35,F90_56.32
F62_15,F64_35,88.32,1,15-35,F90_56.32
F62_15,F65_35,30.95,1,15-35,F90_56.32
F62_15,F90_35,32.29,1,15-35,F90_56.32
F62_15,F91_35,56.03,1,15-35,F90_56.32
