sample1	sample2	dis	sam1_group	sam2_group	group	day
F41_15	F41_56	38.28	2	2	2_2	15-56
F41_15	F44_35	55.15	2	2	2_2	15-35
F41_15	F44_56	43.04	2	2	2_2	15-56
F41_15	F47_15	9.49	2	2	2_2	15-15
F41_15	F47_35	46.97	2	2	2_2	15-35
F41_15	F47_56	56.09	2	2	2_2	15-56
F41_15	F48_15	14.71	2	2	2_2	15-15
F41_15	F48_35	63.32	2	2	2_2	15-35
F41_15	F48_56	116.68	2	2	2_2	15-56
F41_15	F49_15	23.38	2	2	2_2	15-15
F41_15	F49_56	93.45	2	2	2_2	15-56
F41_15	F61_15	28.82	2	2	2_2	15-15
F41_15	F61_35	36.45	2	2	2_2	15-35
F41_15	F61_56	65.17	2	2	2_2	15-56
F41_15	F62_15	20.72	2	1	2_1	15-15
F41_15	F62_56	61.82	2	1	2_1	15-56
F41_15	F63_15	17.33	2	1	2_1	15-15
F41_15	F64_35	46.51	2	1	2_1	15-35
F41_15	F64_56	75.48	2	1	2_1	15-56
F41_15	F65_15	37.69	2	1	2_1	15-15
F41_15	F65_56	59.28	2	1	2_1	15-56
F41_15	F66_15	16.99	2	3	2_3	15-15
F41_15	F66_35	54.92	2	3	2_3	15-35
F41_15	F66_56	77.93	2	3	2_3	15-56
F41_15	F67_15	30.62	2	3	2_3	15-15
F41_15	F67_35	64.18	2	3	2_3	15-35
F41_15	F67_56	70.04	2	3	2_3	15-56
F41_15	F68_15	30.3	2	3	2_3	15-15
F41_15	F68_35	66.76	2	3	2_3	15-35
F41_15	F69_15	19.78	2	3	2_3	15-15
F41_15	F69_35	45.84	2	3	2_3	15-35
F41_15	F69_56	42.4	2	3	2_3	15-56
F41_15	F90_15	35.27	2	1	2_1	15-15
F41_15	F90_35	138.11	2	1	2_1	15-35
F41_15	F90_56	44.77	2	1	2_1	15-56
F41_15	F91_15	29.51	2	1	2_1	15-15
F41_15	F91_56	63.02	2	1	2_1	15-56
F41_15	F92_35	39.0	2	1	2_1	15-35
F41_15	F92_56	100.3	2	1	2_1	15-56
F41_15	F39_15	31.12	2	2	2_2	15-15
F41_15	F39_35	35.4	2	2	2_2	15-35
F41_15	F52_15	22.55	2	2	2_2	15-15
F41_15	F53_15	17.93	2	2	2_2	15-15
F41_15	F53_35	50.96	2	2	2_2	15-35
F41_15	F53_56	53.66	2	2	2_2	15-56
F41_15	F55_15	23.38	2	2	2_2	15-15
F41_15	F56_15	13.72	2	2	2_2	15-15
F41_15	F56_35	40.89	2	2	2_2	15-35
F41_15	F56_56	88.36	2	2	2_2	15-56
F41_15	F58_15	17.17	2	2	2_2	15-15
F41_15	F70_15	24.93	2	3	2_3	15-15
F41_15	F70_35	61.9	2	3	2_3	15-35
F41_15	F70_56	48.68	2	3	2_3	15-56
F41_15	F73_15	23.95	2	3	2_3	15-15
F41_15	F73_35	86.27	2	3	2_3	15-35
F41_15	F75_15	20.05	2	3	2_3	15-15
F41_15	F75_35	111.33	2	3	2_3	15-35
F41_15	F75_56	92.57	2	3	2_3	15-56
F41_15	F76_15	13.87	2	3	2_3	15-15
F41_15	F76_35	55.9	2	3	2_3	15-35
F41_15	F76_56	56.06	2	3	2_3	15-56
F41_15	F77_15	16.71	2	3	2_3	15-15
F41_15	F77_35	49.27	2	3	2_3	15-35
F41_15	F77_56	66.21	2	3	2_3	15-56
F41_15	F79_35	48.94	2	3	2_3	15-35
F41_15	F80_15	18.7	2	3	2_3	15-15
F41_15	F80_56	74.09	2	3	2_3	15-56
F41_15	F83_35	38.47	2	3	2_3	15-35
F41_15	F84_15	18.46	2	1	2_1	15-15
F41_15	F84_35	21.6	2	1	2_1	15-35
F41_15	F84_56	34.55	2	1	2_1	15-56
F41_15	F86_15	42.52	2	1	2_1	15-15
F41_15	F86_35	52.84	2	1	2_1	15-35
F41_15	F87_15	51.72	2	1	2_1	15-15
F41_15	F87_56	73.84	2	1	2_1	15-56
F41_15	F88_35	80.35	2	1	2_1	15-35
F41_15	F88_56	180.75	2	1	2_1	15-56
F41_15	F89_15	26.39	2	1	2_1	15-15
F41_15	F89_35	61.3	2	1	2_1	15-35
F41_15	F89_56	64.22	2	1	2_1	15-56
F41_56	F41_15	38.28	2	2	2_2	56-15
F41_56	F44_35	50.32	2	2	2_2	56-35
F41_56	F44_56	56.69	2	2	2_2	56-56
F41_56	F47_15	47.07	2	2	2_2	56-15
F41_56	F47_35	49.2	2	2	2_2	56-35
F41_56	F47_56	27.44	2	2	2_2	56-56
F41_56	F48_15	42.74	2	2	2_2	56-15
F41_56	F48_35	44.98	2	2	2_2	56-35
F41_56	F48_56	43.3	2	2	2_2	56-56
F41_56	F49_15	58.17	2	2	2_2	56-15
F41_56	F49_56	56.52	2	2	2_2	56-56
F41_56	F61_15	47.2	2	2	2_2	56-15
F41_56	F61_35	42.42	2	2	2_2	56-35
F41_56	F61_56	49.7	2	2	2_2	56-56
F41_56	F62_15	49.11	2	1	2_1	56-15
F41_56	F62_56	47.28	2	1	2_1	56-56
F41_56	F63_15	66.44	2	1	2_1	56-15
F41_56	F64_35	47.33	2	1	2_1	56-35
F41_56	F64_56	51.85	2	1	2_1	56-56
F41_56	F65_15	51.78	2	1	2_1	56-15
F41_56	F65_56	51.13	2	1	2_1	56-56
F41_56	F66_15	52.08	2	3	2_3	56-15
F41_56	F66_35	42.19	2	3	2_3	56-35
F41_56	F66_56	87.47	2	3	2_3	56-56
F41_56	F67_15	37.16	2	3	2_3	56-15
F41_56	F67_35	70.79	2	3	2_3	56-35
F41_56	F67_56	42.77	2	3	2_3	56-56
F41_56	F68_15	58.86	2	3	2_3	56-15
F41_56	F68_35	47.38	2	3	2_3	56-35
F41_56	F69_15	45.7	2	3	2_3	56-15
F41_56	F69_35	33.67	2	3	2_3	56-35
F41_56	F69_56	28.2	2	3	2_3	56-56
F41_56	F90_15	45.07	2	1	2_1	56-15
F41_56	F90_35	50.96	2	1	2_1	56-35
F41_56	F90_56	44.19	2	1	2_1	56-56
F41_56	F91_15	45.26	2	1	2_1	56-15
F41_56	F91_56	49.85	2	1	2_1	56-56
F41_56	F92_35	43.44	2	1	2_1	56-35
F41_56	F92_56	58.12	2	1	2_1	56-56
F41_56	F39_15	56.14	2	2	2_2	56-15
F41_56	F39_35	31.66	2	2	2_2	56-35
F41_56	F52_15	39.27	2	2	2_2	56-15
F41_56	F53_15	46.62	2	2	2_2	56-15
F41_56	F53_35	43.9	2	2	2_2	56-35
F41_56	F53_56	40.45	2	2	2_2	56-56
F41_56	F55_15	35.76	2	2	2_2	56-15
F41_56	F56_15	39.53	2	2	2_2	56-15
F41_56	F56_35	35.62	2	2	2_2	56-35
F41_56	F56_56	50.83	2	2	2_2	56-56
