sample,mag_sum,day,class,individual
F39_15,3,15,2,F39
F39_35,13,35,2,F39
F39_56,18,56,2,F39
F41_15,5,15,2,F41
F41_35,11,35,2,F41
F41_56,9,56,2,F41
F44_15,6,15,2,F44
F44_35,10,35,2,F44
F44_56,16,56,2,F44
F47_15,1,15,2,F47
F47_35,8,35,2,F47
F47_56,19,56,2,F47
F48_15,4,15,2,F48
F48_35,15,35,2,F48
F48_56,21,56,2,F48
F49_15,14,15,2,F49
F49_35,13,35,2,F49
F49_56,19,56,2,F49
F52_15,6,15,2,F52
F52_56,15,56,2,F52
F53_15,5,15,2,F53
F53_35,9,35,2,F53
F53_56,19,56,2,F53
F55_15,7,15,2,F55
F55_35,11,35,2,F55
F55_56,10,56,2,F55
F56_15,3,15,2,F56
F56_35,10,35,2,F56
F56_56,13,56,2,F56
F58_15,2,15,2,F58
F58_35,8,35,2,F58
F58_56,23,56,2,F58
F61_15,4,15,2,F61
F61_35,11,35,2,F61
F61_56,10,56,2,F61
F62_15,3,15,1,F62
F62_35,13,35,1,F62
F62_56,12,56,1,F62
F63_15,5,15,1,F63
F63_35,12,35,1,F63
F63_56,5,56,1,F63
F64_15,10,15,1,F64
F64_35,19,35,1,F64
F64_56,23,56,1,F64
F65_15,4,15,1,F65
F65_35,8,35,1,F65
F65_56,17,56,1,F65
F66_15,6,15,3,F66
F66_35,2,35,3,F66
F66_56,27,56,3,F66
F67_15,6,15,3,F67
F67_35,18,35,3,F67
F67_56,21,56,3,F67
F68_15,8,15,3,F68
F68_35,13,35,3,F68
F68_56,22,56,3,F68
F69_15,8,15,3,F69
F69_35,9,35,3,F69
F69_56,8,56,3,F69
F70_15,5,15,3,F70
F70_35,8,35,3,F70
F70_56,24,56,3,F70
F73_15,12,15,3,F73
F73_35,16,35,3,F73
F73_56,14,56,3,F73
F75_15,7,15,3,F75
F75_35,16,35,3,F75
F75_56,21,56,3,F75
F76_15,3,15,3,F76
F76_35,10,35,3,F76
F76_56,20,56,3,F76
F77_15,6,15,3,F77
F77_35,8,35,3,F77
F77_56,11,56,3,F77
F79_15,6,15,3,F79
F79_35,18,35,3,F79
F79_56,17,56,3,F79
F80_15,5,15,3,F80
F80_35,10,35,3,F80
F80_56,15,56,3,F80
F83_35,15,35,3,F83
F83_56,8,56,3,F83
F84_15,4,15,1,F84
F84_35,7,35,1,F84
F84_56,5,56,1,F84
F86_15,5,15,1,F86
F86_35,15,35,1,F86
F86_56,17,56,1,F86
F87_15,5,15,1,F87
F87_35,15,35,1,F87
F87_56,23,56,1,F87
F88_35,4,35,1,F88
F88_56,12,56,1,F88
F89_15,9,15,1,F89
F89_35,8,35,1,F89
F89_56,18,56,1,F89
F90_15,13,15,1,F90
F90_35,9,35,1,F90
F90_56,14,56,1,F90
F91_15,6,15,1,F91
F91_35,7,35,1,F91
F91_56,27,56,1,F91
F92_35,19,35,1,F92
F92_56,10,56,1,F92
