sample,pair_survive,day,class,individual
F39_15,41508721,15,2,F39
F39_35,44221289,35,2,F39
F39_56,30742642,56,2,F39
F41_15,37775894,15,2,F41
F41_35,39611146,35,2,F41
F41_56,37392898,56,2,F41
F44_15,41064948,15,2,F44
F44_35,39185483,35,2,F44
F44_56,37277645,56,2,F44
F47_15,31992382,15,2,F47
F47_35,34992669,35,2,F47
F47_56,37064676,56,2,F47
F48_15,39883294,15,2,F48
F48_35,33523448,35,2,F48
F48_56,35904580,56,2,F48
F49_15,37241451,15,2,F49
F49_35,40921556,35,2,F49
F49_56,37790906,56,2,F49
F52_15,36790353,15,2,F52
F52_56,34478142,56,2,F52
F53_15,38708906,15,2,F53
F53_35,41581667,35,2,F53
F53_56,37740838,56,2,F53
F55_15,40628142,15,2,F55
F55_35,35072931,35,2,F55
F55_56,29113333,56,2,F55
F56_15,34579290,15,2,F56
F56_35,40667735,35,2,F56
F56_56,37791338,56,2,F56
F58_15,38409694,15,2,F58
F58_35,39148554,35,2,F58
F58_56,35846702,56,2,F58
F61_15,42106255,15,2,F61
F61_35,34033023,35,2,F61
F61_56,36170594,56,2,F61
F62_15,30814412,15,1,F62
F62_35,38983938,35,1,F62
F62_56,35578577,56,1,F62
F63_15,36227849,15,1,F63
F63_35,35421273,35,1,F63
F63_56,37174558,56,1,F63
F64_15,35266329,15,1,F64
F64_35,39757883,35,1,F64
F64_56,32314904,56,1,F64
F65_15,33784249,15,1,F65
F65_35,34503272,35,1,F65
F65_56,30975891,56,1,F65
F66_15,36549275,15,3,F66
F66_35,34688715,35,3,F66
F66_56,38743070,56,3,F66
F67_15,45575760,15,3,F67
F67_35,38057872,35,3,F67
F67_56,32405167,56,3,F67
F68_15,30187445,15,3,F68
F68_35,41342651,35,3,F68
F68_56,34283406,56,3,F68
F69_15,40064932,15,3,F69
F69_35,36904318,35,3,F69
F69_56,34500297,56,3,F69
F70_15,41536516,15,3,F70
F70_35,37102439,35,3,F70
F70_56,34244200,56,3,F70
F73_15,41314905,15,3,F73
F73_35,38180499,35,3,F73
F73_56,31801270,56,3,F73
F75_15,38823012,15,3,F75
F75_35,38185629,35,3,F75
F75_56,37946425,56,3,F75
F76_15,38859719,15,3,F76
F76_35,36059417,35,3,F76
F76_56,31081180,56,3,F76
F77_15,40425354,15,3,F77
F77_35,30539605,35,3,F77
F77_56,30307055,56,3,F77
F79_15,33655584,15,3,F79
F79_35,40918530,35,3,F79
F79_56,34107766,56,3,F79
F80_15,36102360,15,3,F80
F80_35,38070899,35,3,F80
F80_56,32076927,56,3,F80
F83_35,35223481,35,3,F83
F83_56,30923098,56,3,F83
F84_15,34299432,15,1,F84
F84_35,42952484,35,1,F84
F84_56,33190080,56,1,F84
F86_15,36431491,15,1,F86
F86_35,40062855,35,1,F86
F86_56,29401554,56,1,F86
F87_15,44176306,15,1,F87
F87_35,40193725,35,1,F87
F87_56,33893786,56,1,F87
F88_35,38003938,35,1,F88
F88_56,38964099,56,1,F88
F89_15,36381285,15,1,F89
F89_35,39667849,35,1,F89
F89_56,36276331,56,1,F89
F90_15,40751196,15,1,F90
F90_35,40266357,35,1,F90
F90_56,32010581,56,1,F90
F91_15,41585092,15,1,F91
F91_35,37094774,35,1,F91
F91_56,35878767,56,1,F91
F92_35,37769048,35,1,F92
F92_56,31035457,56,1,F92
