sample1	sample2	dis	sam1_group	sam2_group	group	day
F41_35	F44_35	15.38	2	2	2_2	35-35
F41_35	F44_56	11.41	2	2	2_2	35-56
F41_35	F47_15	90.85	2	2	2_2	35-15
F41_35	F47_35	26.32	2	2	2_2	35-35
F41_35	F47_56	25.73	2	2	2_2	35-56
F41_35	F48_35	14.67	2	2	2_2	35-35
F41_35	F49_35	75.51	2	2	2_2	35-35
F41_35	F49_56	23.57	2	2	2_2	35-56
F41_35	F61_35	22.97	2	2	2_2	35-35
F41_35	F61_56	24.91	2	2	2_2	35-56
F41_35	F62_35	20.42	2	1	2_1	35-35
F41_35	F62_56	18.97	2	1	2_1	35-56
F41_35	F63_56	90.77	2	1	2_1	35-56
F41_35	F64_15	93.89	2	1	2_1	35-15
F41_35	F64_35	33.91	2	1	2_1	35-35
F41_35	F64_56	70.83	2	1	2_1	35-56
F41_35	F65_15	54.9	2	1	2_1	35-15
F41_35	F65_35	21.64	2	1	2_1	35-35
F41_35	F66_56	24.98	2	3	2_3	35-56
F41_35	F67_35	13.94	2	3	2_3	35-35
F41_35	F67_56	63.36	2	3	2_3	35-56
F41_35	F68_15	82.49	2	3	2_3	35-15
F41_35	F69_56	31.05	2	3	2_3	35-56
F41_35	F90_35	9.75	2	1	2_1	35-35
F41_35	F90_56	19.25	2	1	2_1	35-56
F41_35	F91_15	92.64	2	1	2_1	35-15
F41_35	F91_35	17.02	2	1	2_1	35-35
F41_35	F91_56	16.93	2	1	2_1	35-56
F41_35	F92_35	29.82	2	1	2_1	35-35
F41_35	F92_56	130.81	2	1	2_1	35-56
F41_35	F39_15	14.51	2	2	2_2	35-15
F41_35	F39_35	29.1	2	2	2_2	35-35
F41_35	F39_56	21.03	2	2	2_2	35-56
F41_35	F52_56	36.57	2	2	2_2	35-56
F41_35	F53_35	23.56	2	2	2_2	35-35
F41_35	F55_35	20.05	2	2	2_2	35-35
F41_35	F55_56	30.76	2	2	2_2	35-56
F41_35	F56_35	20.7	2	2	2_2	35-35
F41_35	F56_56	29.82	2	2	2_2	35-56
F41_35	F58_35	69.43	2	2	2_2	35-35
F41_35	F58_56	32.41	2	2	2_2	35-56
F41_35	F70_35	33.73	2	3	2_3	35-35
F41_35	F70_56	46.53	2	3	2_3	35-56
F41_35	F73_35	15.37	2	3	2_3	35-35
F41_35	F73_56	31.24	2	3	2_3	35-56
F41_35	F75_35	30.49	2	3	2_3	35-35
F41_35	F75_56	15.53	2	3	2_3	35-56
F41_35	F76_15	206.94	2	3	2_3	35-15
F41_35	F76_35	34.94	2	3	2_3	35-35
F41_35	F76_56	56.68	2	3	2_3	35-56
F41_35	F77_15	28.85	2	3	2_3	35-15
F41_35	F77_35	48.9	2	3	2_3	35-35
F41_35	F77_56	21.57	2	3	2_3	35-56
F41_35	F79_35	65.55	2	3	2_3	35-35
F41_35	F79_56	15.71	2	3	2_3	35-56
F41_35	F80_15	20.84	2	3	2_3	35-15
F41_35	F80_35	21.76	2	3	2_3	35-35
F41_35	F80_56	85.64	2	3	2_3	35-56
F41_35	F83_35	125.55	2	3	2_3	35-35
F41_35	F84_56	53.15	2	1	2_1	35-56
F41_35	F86_15	140.52	2	1	2_1	35-15
F41_35	F86_56	38.28	2	1	2_1	35-56
F41_35	F87_35	20.58	2	1	2_1	35-35
F41_35	F87_56	20.73	2	1	2_1	35-56
F41_35	F88_35	27.87	2	1	2_1	35-35
F41_35	F88_56	21.85	2	1	2_1	35-56
F41_35	F89_35	28.23	2	1	2_1	35-35
F41_35	F89_56	17.98	2	1	2_1	35-56
F44_35	F41_35	15.38	2	2	2_2	35-35
F44_35	F44_56	3.42	2	2	2_2	35-56
F44_35	F47_15	38.64	2	2	2_2	35-15
F44_35	F47_35	2.69	2	2	2_2	35-35
F44_35	F47_56	12.87	2	2	2_2	35-56
F44_35	F48_35	2.53	2	2	2_2	35-35
F44_35	F49_35	70.95	2	2	2_2	35-35
F44_35	F49_56	19.97	2	2	2_2	35-56
F44_35	F61_35	2.15	2	2	2_2	35-35
F44_35	F61_56	15.39	2	2	2_2	35-56
F44_35	F62_35	4.97	2	1	2_1	35-35
F44_35	F62_56	5.38	2	1	2_1	35-56
