sample1	sample2	dis	sam1_group	sam2_group	group	day
F41_15	F41_56	43.92	2	2	2_2	15-56
F41_15	F44_15	31.31	2	2	2_2	15-15
F41_15	F44_35	13.95	2	2	2_2	15-35
F41_15	F44_56	23.85	2	2	2_2	15-56
F41_15	F47_15	19.01	2	2	2_2	15-15
F41_15	F47_56	41.18	2	2	2_2	15-56
F41_15	F48_35	34.75	2	2	2_2	15-35
F41_15	F48_56	25.58	2	2	2_2	15-56
F41_15	F49_56	52.28	2	2	2_2	15-56
F41_15	F61_35	55.6	2	2	2_2	15-35
F41_15	F62_15	3.88	2	1	2_1	15-15
F41_15	F62_56	19.57	2	1	2_1	15-56
F41_15	F63_15	18.07	2	1	2_1	15-15
F41_15	F63_56	16.27	2	1	2_1	15-56
F41_15	F64_56	28.03	2	1	2_1	15-56
F41_15	F65_15	5.92	2	1	2_1	15-15
F41_15	F65_56	50.51	2	1	2_1	15-56
F41_15	F66_35	28.62	2	3	2_3	15-35
F41_15	F66_56	23.43	2	3	2_3	15-56
F41_15	F67_15	20.69	2	3	2_3	15-15
F41_15	F67_35	19.89	2	3	2_3	15-35
F41_15	F67_56	64.27	2	3	2_3	15-56
F41_15	F68_35	8.38	2	3	2_3	15-35
F41_15	F68_56	24.18	2	3	2_3	15-56
F41_15	F69_15	9.14	2	3	2_3	15-15
F41_15	F69_35	25.63	2	3	2_3	15-35
F41_15	F90_35	32.63	2	1	2_1	15-35
F41_15	F90_56	105.7	2	1	2_1	15-56
F41_15	F91_15	45.91	2	1	2_1	15-15
F41_15	F92_35	31.67	2	1	2_1	15-35
F41_15	F92_56	19.42	2	1	2_1	15-56
F41_15	F39_56	32.17	2	2	2_2	15-56
F41_15	F52_15	43.83	2	2	2_2	15-15
F41_15	F52_56	14.68	2	2	2_2	15-56
F41_15	F53_15	1.33	2	2	2_2	15-15
F41_15	F53_35	48.19	2	2	2_2	15-35
F41_15	F55_15	11.2	2	2	2_2	15-15
F41_15	F55_35	28.32	2	2	2_2	15-35
F41_15	F55_56	43.1	2	2	2_2	15-56
F41_15	F56_15	2.5	2	2	2_2	15-15
F41_15	F56_35	35.39	2	2	2_2	15-35
F41_15	F56_56	19.99	2	2	2_2	15-56
F41_15	F58_15	33.31	2	2	2_2	15-15
F41_15	F58_56	81.72	2	2	2_2	15-56
F41_15	F70_15	70.62	2	3	2_3	15-15
F41_15	F70_35	28.95	2	3	2_3	15-35
F41_15	F70_56	23.83	2	3	2_3	15-56
F41_15	F73_15	30.2	2	3	2_3	15-15
F41_15	F73_56	59.22	2	3	2_3	15-56
F41_15	F75_15	84.22	2	3	2_3	15-15
F41_15	F75_35	13.53	2	3	2_3	15-35
F41_15	F75_56	11.16	2	3	2_3	15-56
F41_15	F76_15	44.02	2	3	2_3	15-15
F41_15	F77_15	21.42	2	3	2_3	15-15
F41_15	F77_35	12.61	2	3	2_3	15-35
F41_15	F79_15	20.16	2	3	2_3	15-15
F41_15	F79_35	29.36	2	3	2_3	15-35
F41_15	F79_56	81.49	2	3	2_3	15-56
F41_15	F80_35	10.75	2	3	2_3	15-35
F41_15	F80_56	55.9	2	3	2_3	15-56
F41_15	F83_35	14.49	2	3	2_3	15-35
F41_15	F83_56	28.69	2	3	2_3	15-56
F41_15	F84_15	0.96	2	1	2_1	15-15
F41_15	F84_35	18.25	2	1	2_1	15-35
F41_15	F84_56	15.09	2	1	2_1	15-56
F41_15	F86_15	50.54	2	1	2_1	15-15
F41_15	F86_35	17.27	2	1	2_1	15-35
F41_15	F86_56	30.44	2	1	2_1	15-56
F41_15	F87_15	32.91	2	1	2_1	15-15
F41_15	F87_35	33.26	2	1	2_1	15-35
F41_15	F88_35	7.86	2	1	2_1	15-35
F41_15	F88_56	31.32	2	1	2_1	15-56
F41_15	F89_15	11.06	2	1	2_1	15-15
F41_15	F89_35	8.57	2	1	2_1	15-35
F41_15	F89_56	8.0	2	1	2_1	15-56
F41_56	F41_15	43.92	2	2	2_2	56-15
F41_56	F44_15	46.41	2	2	2_2	56-15
F41_56	F44_35	12.27	2	2	2_2	56-35
F41_56	F44_56	14.49	2	2	2_2	56-56
F41_56	F47_15	16.16	2	2	2_2	56-15
F41_56	F47_56	18.24	2	2	2_2	56-56
F41_56	F48_35	5.39	2	2	2_2	56-35
F41_56	F48_56	14.31	2	2	2_2	56-56
